term	regr_adjusted_OR	regr_adjusted_SE	regr_adjusted_Z	regr_adjusted_p	regr_adjusted_95perc_CI_lower	regr_adjusted_95perc_CI_upper	regr_adjusted_padj	PGS	model	Dataset	regr_unadjusted_OR	regr_unadjusted_SE	regr_unadjusted_Z	regr_unadjusted_p	regr_unadjusted_95perc_CI_lower	regr_unadjusted_95perc_CI_upper	regr_unadjusted_padj	AUC	AUC_SE	AUC_Z	AUC_p	AUC_90perc_CI_lower	AUC_90perc_CI_upper	AUC_padj	r2l	r2l_SE	r2l_Z	r2l_p	r2l_90perc_CI_lower	r2l_90perc_CI_upper	r2l_padj
scale(PGS_Epilepsy_SBayesRC)	0.897943222937841	0.0915152567634703	-1.17628953480562	0.239479196271888	0.750399292148336	1.07426026999958	0.478958392543776	PGS_Epilepsy_SBayesRC	multivariate	Australian (monogenic)	0.914691506470246	0.091330963892596	-0.976321919238973	0.328904961092811	0.764744698265526	1.0939677593413	0.418775966277948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_Autism_SBayesRC)	1.08805870811253	0.0926939847477047	0.910470154778016	0.362574614440575	0.907297401885688	1.30492073346822	0.4834328192541	PGS_Autism_SBayesRC	multivariate	Australian (monogenic)	1.13235050057957	0.0910799845182595	1.36468579787701	0.172351825269013	0.947275885805307	1.35375998721097	0.344703650538026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_Agewalking_SBayesRC)	1.05132293646585	0.0921044724565125	0.543397180051796	0.586856366868944	0.877668830075777	1.25935725269217	0.670692990707364	PGS_Agewalking_SBayesRC	multivariate	Australian (monogenic)	1.10660268181116	0.0909781335119681	1.11339583521948	0.265538462903925	0.925852656964491	1.32262467376965	0.418775966277948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scale(PGS_CP_FinnGen_SBayesRC)	1.05425342476145	0.0513183440033558	1.02951221817614	0.303239041313994	0.953395024463979	1.16585068888105	1	PGS_CP_FinnGen_SBayesRC	univariate	Australian (non-monogenic)	1.0679388918349	0.0508105078352411	1.29364031808363	0.195789689168325	0.966716336389297	1.1798085472284	1	0.516222067861994	0.0143835941537737	1.12781740701003	0.12969852020864	0.492563160849561	0.539880974874426	0.166755240268251	0.000484882125905378	1.7291935687873e-05	28.0409396991588	2.57590158892493e-173	3.64124233232718e-06	0.00163306422849469	4.63662286006488e-173
scale(PGS_EA_SBayesRC)	0.703951794836008	0.0509904011200293	-6.88453886813824	5.79750237356952e-12	0.636914566803585	0.777848704784192	4.05825166149867e-11	PGS_EA_SBayesRC	univariate	Australian (non-monogenic)	0.700367388449743	0.0510463362680482	-6.97699907603063	3.01551690701338e-12	0.633634934912485	0.774008665895435	2.11086183490936e-11	0.597252587773429	0.0151610225492685	6.4146456782443	7.05753800646766e-11	0.572314924844972	0.622190250701887	3.17589210291045e-10	0.0115476349997611	0.000110494401943566	104.508778695041	0	0.00629278443678143	0.0178535246728448	0
scale(PGS_Birthweight_SBayesRC)	0.998604431882437	0.0516390041897377	-0.0270443408353542	0.978424368078917	0.902442972064588	1.10493002274031	1	PGS_Birthweight_SBayesRC	univariate	Australian (non-monogenic)	0.939557670030346	0.0508415823717448	-1.22628123195727	0.220092861538262	0.850390964438344	1.03796582109638	1	0.518923957603309	0.0149001332769445	1.27005290835828	0.102032892209676	0.494415419340667	0.543432495865952	0.153049338314514	0.000242250111275124	1.13228433598375e-05	21.3948125551567	7.46643376643382e-102	9.47573813928765e-07	0.000995963515289608	7.46643376643382e-102
scale(PGS_Stroke_SBayesRC)	1.10242065580479	0.0511908246087404	1.90480147507593	0.0568058820814802	0.997190823506561	1.21879526129528	0.397641174570361	PGS_Stroke_SBayesRC	univariate	Australian (non-monogenic)	1.10344654941519	0.0508025664142546	1.93766801891188	0.0526637381121681	0.998866187396638	1.21900784760911	0.368646166785177	0.522614317875948	0.0146772511702998	1.5407733787175	0.06168597533613	0.498472388054803	0.546756247697094	0.111034755605034	0.00112203400564313	3.24427818909274e-05	34.5850121427752	2.12244487253247e-262	1.98337805568171e-05	0.00318808634991795	6.3673346175974e-262
scale(PGS_Gestdur_SBayesRC)	0.952478057649518	0.0515841302720977	-0.943860225581741	0.34524107959715	0.860898038127156	1.05383725195284	1	PGS_Gestdur_SBayesRC	univariate	Australian (non-monogenic)	0.923120694980299	0.050787138875857	-1.5751091911548	0.115231242883404	0.835647602815385	1.01975313657137	0.806618700183826	0.523345282468882	0.014491203307847	1.61099682151586	0.0535902076121134	0.499509374149078	0.547181190788685	0.111034755605034	0.000501351005594062	1.9298416242413e-05	25.9788678664844	4.29174250563117e-149	3.95847808089649e-06	0.00161824552053385	6.43761375844675e-149
scale(PGS_Epilepsy_SBayesRC)	1.08800258691907	0.0511841479640768	1.64784468373079	0.0993845470159235	0.984159487200609	1.20283480933681	0.695691829111465	PGS_Epilepsy_SBayesRC	univariate	Australian (non-monogenic)	1.10618853826175	0.0507980466549182	1.98669759584836	0.0469559184107174	1.00135290936248	1.2220176206331	0.328691428875022	0.525903162386271	0.0139800644587518	1.8528643027862	0.0319509053857546	0.502908002656278	0.548898322116265	0.0958527161572639	0.00082510244220914	2.43053784067222e-05	33.9473193299858	6.68034339279784e-253	1.53843525338516e-05	0.00247969709067044	1.50307726337951e-252
scale(PGS_Autism_SBayesRC)	0.983520642157502	0.0515848553679139	-0.322122700307175	0.747359741723162	0.888949435286585	1.08818203411029	1	PGS_Autism_SBayesRC	univariate	Australian (non-monogenic)	1.01610949678113	0.0508002622643487	0.314587269027668	0.753075046587053	0.919814763318978	1.12252073705667	1	0.504824515160724	0.0150941172226316	0.319628838809495	0.374624855049583	0.479996901701448	0.52965212862	0.42145296193078	0.000287456875876101	1.27236579767937e-05	22.5923139713741	2.57871762674195e-113	1.54737364968724e-06	0.00109463899923771	2.9010573300847e-113
